,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
84903,14,265635,5.0,90.0,14.0,1.0,45.0,Space Race,2021,"Dalibor Krch,Radoslav Javor,Marek Loskot,Michael Petrus,Pavel Richter,Michal Rumlena",Space Exploration,,"Martin Řehořík,Michal Mikeš,Jan Soukal",Crowdfunding: Kickstarter,"Card Drafting,Hand Management,Simultaneous Action Selection",Boardcubator,166,7.53259
84913,24,265681,5.0,30.0,8.0,2.0,20.0,Montmartre,2019,Jeanne Landart,Card Game,,Florian Sirieix,"Cities: Paris (France),Country: France,Theme: Art,Theme: Painting / Paintings","Hand Management,Set Collection","BLAM !,Arclight",150,6.536
84915,26,265683,6.0,15.0,8.0,1.0,10.0,Second Chance,2019,"Max Prentis,Justine Nortjé",Card Game,,Uwe Rosenberg,"Components: Polyominoes,Mechanism: Flip-and-Write","Grid Coverage,Paper-and-Pencil,Player Elimination","Edition Spielwiese,Act in games,Brädspel.se,Compaya.hu - Gamer Café Kft.,Lautapelit.fi,MS Edizioni,Pegasus Spiele,Stronghold Games,White Goblin Games",1420,6.7075
84916,27,265684,8.0,40.0,10.0,4.0,20.0,Subtext,2019,,Party Game,,Wolfgang Warsch,Mechanism: Drawing,"Paper-and-Pencil,Targeted Clues,Voting","Edition Spielwiese,Act in games,Compaya.hu - Gamer Café Kft.,Pegasus Spiele,Stronghold Games",284,6.43536
84924,35,265736,6.0,60.0,14.0,1.0,45.0,Tiny Towns,2019,Gong Studios,"Abstract Strategy,Animals,City Building",,Peter McPherson,"Components: Polyominoes,Players: Games with Solitaire Rules,Theme: Anthropomorphic Animals","Bingo,End Game Bonuses,Follow,Grid Coverage,Pattern Building,Player Elimination,Solo / Solitaire Game,Turn Order: Progressive,Variable Phase Order,Variable Player Powers,Variable Set-up","Alderac Entertainment Group,All In Games,Arrakis Games,Broadway Toys LTD,CMON Global Limited,Fractal Juegos,GaGa Games,Galápagos Jogos,Korea Boardgames Co., Ltd.,Lanlalen,Lucky Duck Games,Pegasus Spiele,Raven Distribution,Reflexshop,REXhry,White Goblin Games,株式会社ケンビル (KenBill)",11406,7.34316
84926,37,265752,2.0,25.0,10.0,2.0,15.0,Exceed: Street Fighter – Ryu Box,2019,Laura La Vito,"Fighting,Video Game Theme",,"D. Brad Talton, Jr.","Game: Exceed Fighting System,Players: Two Player Only Games","Hand Management,Point to Point Movement,Variable Player Powers",Level 99 Games,103,8.07573
84935,46,265784,4.0,60.0,10.0,2.0,60.0,Cleopatra and the Society of Architects: Deluxe Edition,2020,Miguel Coimbra,"Ancient,City Building,Mythology",,"Bruno Cathala,Ludovic Maublanc","Country: Egypt,Crowdfunding: Kickstarter,Historical Figures: Cleopatra,Mythology: Egyptian","Auction/Bidding,Enclosure,Hand Management,Set Collection,Tile Placement","Mojito Studios,Lucky Duck Games,uplay.it edizioni",318,7.76904
84936,47,265785,2.0,15.0,7.0,2.0,5.0,Rune,2019,Tristam Rossin,"Abstract Strategy,Card Game,Puzzle",,Zemilio,"Crowdfunding: Kickstarter,Players: Two Player Only Games","Connections,Layering,Melding and Splaying,Tile Placement","Giga Mech Games,Little Rocket Games,Moria Games,Zemilio Entertainment",230,6.88529
84960,71,265912,5.0,20.0,7.0,2.0,20.0,Selfish: Space Edition,2018,,Science Fiction,,,"Admin: Better Description Needed!,Card Games: Draw and Discard","Player Elimination,Take That","Ridley's Games,Wild & Wolf",152,6.58888
84962,73,265917,4.0,90.0,12.0,1.0,45.0,Winterborne,2019,Jason Washburn,"City Building,Civilization,Exploration,Fantasy,Mythology",,Brian Suhre,Crowdfunding: Kickstarter,"Area Majority / Influence,Deck, Bag, and Pool Building,Hand Management,Rondel,Tile Placement",Talon Strikes Studios LLC,170,7.28242
