game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
168421,5,45,13,1,45,Bohnanza: Ladies & Gangsters,45,2015,"Card Game,Farming,Negotiation","Al Cabohne,Ladybohn: Manche mögen's heiss!",Uwe Rosenberg,,"Hand Management,Set Collection,Trading","Lautapelit.fi,Rio Grande Games",6.7931,87,-59.56923,-11.553744,25.799187
168433,4,60,14,2,60,The World of Smog: On Her Majesty's Service,60,2015,"Abstract Strategy,Fantasy,Miniatures,Science Fiction",,Yohan Lemonnier,The World of Smog: On Her Majesty's Service – Gentleman Pack,"Auction/Bidding,Set Collection,Stock Holding,Trading","CMON Limited,Edge Entertainment",7.04238,585,-48.940647,-16.135489,-7.345851
168435,7,20,8,1,20,Between Two Cities,20,2015,"City Building,Negotiation",,"Matthew O'Malley,Morten Monrad Pedersen,Ben Rosset",Between Two Cities: Capitals,"Card Drafting,Partnerships,Set Collection,Tile Placement","Ghenos Games,Morning,SD Games,Stonemaier Games",7.12338,4802,-23.999245,-27.07713,-37.23055
168512,4,0,14,3,0,X-Men: Mutant Revolution,0,2015,"Comic Book / Strip,Dice,Miniatures",,Andrew Parks,,"Auction/Bidding,Dice Rolling,Hand Management,Take That,Variable Player Powers","Gale Force Nine, LLC,WizKids",6.5898,147,63.24239,20.320578,48.255142
168582,4,120,13,2,30,Dragon Racer,120,2015,"Card Game,Fantasy,Racing",,"Luke English,Myles O'Neill",,"Card Drafting,Modular Board,Press Your Luck,Set Collection,Take That,Variable Player Powers","Ogry Games,Thylacine Games",6.87689,132,23.022379,21.298548,62.801975
168584,4,20,10,2,20,Love Letter: Batman,20,2015,"Bluffing,Card Game,Deduction",,Seiji Kanai,,"Hand Management,Player Elimination","Alderac Entertainment Group (AEG),Cryptozoic Entertainment",7.39437,3325,31.47655,23.200119,-32.32847
168609,4,60,13,2,60,"Artifacts, Inc.",60,2015,"Adventure,Card Game,Economic,Exploration",,Ryan Laukat,,"Action Point Allowance System,Area Control / Area Influence,Card Drafting,Dice Rolling,Set Collection","IELLO,Red Raven Games",6.94249,1720,9.135254,-2.4820755,-55.873447
168679,4,50,8,1,30,Flip City,50,2014,"Card Game,City Building",Design Town,Chih-Fan Chen,"デザインタウン: 再利用 (Design Town: Reuse),Flip City: Reuse","Deck / Pool Building,Press Your Luck","Moaideas Game Design,Homosapiens Lab,PaperGames (III),Pegasus Spiele,Tasty Minstrel Games",6.47562,2041,36.079544,13.613677,-49.054054
168680,47,40,10,9,40,The Werewolves of Miller's Hollow: The Pact,40,2014,"Bluffing,Deduction,Horror,Murder/Mystery,Party Game","The Werewolves of Miller's Hollow,The Werewolves of Miller's Hollow: Characters,The Werewolves of Miller's Hollow: New Moon,The Werewolves of Miller's Hollow: The Village","Philippe des Pallières,Hervé Marly",,"Partnerships,Player Elimination,Role Playing,Variable Player Powers,Voting","Asmodee,Lui-même",7.72276,123,12.582247,39.55652,56.754997
168681,4,20,13,2,20,Beyond Baker Street,20,2016,Deduction,,"Robin Lees,Steve Mackenzie",Beyond Baker Street: Mini expansion promo cards,"Co-operative Play,Hand Management,Memory","Filosofia Éditions,Z-Man Games",7.1274,801,-5.52452,12.670408,-40.817936
168700,5,20,10,2,20,Kigi,20,2014,"Abstract Strategy,Animals,Card Game,Territory Building",,Daniel Solis,,"Area Control / Area Influence,Set Collection,Tile Placement","Game Field  (II),Kudu Games,Shanghai Creative Tree Cultural Spreading Co. LTD.,Smart Play Games",6.38271,292,-13.858878,-28.666172,-2.6626885
168728,8,45,15,3,45,The Hen Commandments,45,2015,"Humor,Party Game,Religious",,Andrew Sheerin,,"Role Playing,Storytelling,Voting",Terrorbull Games,6.08594,64,-35.243214,16.550568,-28.777338
168752,7,45,10,4,45,BANG!: Heroes of the Storm,45,2014,"Bluffing,Deduction,Party Game,Video Game Theme",,Emiliano Sciarra,BANG!: Heroes of the Storm – Frostmourne & Brightwing,"Hand Management,Partnerships,Player Elimination,Variable Phase Order",USAopoly,6.34045,89,34.058334,23.15061,27.479105
168770,4,20,10,2,20,Epic PVP: Fantasy,20,2015,"Card Game,Fantasy,Fighting",,"Ryan Miller,Luke Peterschmidt","Epic PVP: Fantasy Expansion 1,Epic PVP: Fantasy Expansion 2","Hand Management,Take That,Variable Player Powers","Alderac Entertainment Group (AEG),Fun to 11,Pegasus Spiele",6.83402,371,25.325045,15.512835,2.8748264
168788,6,60,14,2,60,Rum & Bones,60,2015,"Fantasy,Miniatures,Nautical,Pirates",,Michael Shinall,"Rum & Bones: Bone Devils Heroes Set #1,Rum & Bones: Bone Devils Mix,Rum & Bones: Helrokkers,Rum & Bones: La Brise Sanguine,Rum & Bones: La Brise Sanguine Heroes Set #1,Rum & Bones: Luck Goddesses,Rum & Bones: Madeline Tyler,Rum & Bones: Mazu's Dreadful Curse,Rum & Bones: Mazu's Dreadful Curse Heroes Set #1,Rum & Bones: Mercenaries Heroes Set #1,Rum & Bones: Mercenaries Heroes Set #2,Rum & Bones: Mercenaries Promos Set #1,Rum & Bones: Mercenaries Promos Set #2,Rum & Bones: Mercenaries – Zee: The Poet Tyrant,Rum & Bones: Mercenary Tide Deck,Rum & Bones: Nemo the Lost,Rum & Bones: Skullkickers,Rum & Bones: Wellsport Brotherhood Heroes Set #1,Rum & Bones: Wellsport Brotherhood Mix","Action Point Allowance System,Area Control / Area Influence,Dice Rolling,Grid Movement,Variable Player Powers","CMON Limited,Edge Entertainment,Pendragon Game Studio",7.28602,1052,15.287207,14.163523,-52.49797
168839,10,30,12,3,30,Die Kutschfahrt zur Teufelsburg,30,2006,"Bluffing,Card Game,Deduction",,"Michael Palm,Lukas Zach",Die dunkle Prophezeiung,Hand Management,"Adlung-Spiele,GaGa Games,Schmidt Spiele,Swan Panasia Co., Ltd.",6.58189,448,5.360155,28.331264,13.693799
168840,4,20,6,2,20,Bonje in de stal,20,2014,"Animals,Card Game,Farming",,Chislaine van den Bulk,,Set Collection,"999 Games,Cartamundi",4.99235,51,-61.75619,-12.999724,-13.279179
168882,4,45,7,2,45,Race to the North Pole,45,2015,"Adventure,Exploration,Racing",,"Jouni Jussila,Tomi Vainikka",,"Grid Movement,Press Your Luck,Variable Player Powers","Cosmic Games,Foxgames (Poland),Playmore Games Inc. (Finnish Publisher)",6.36434,143,15.923701,24.40464,51.352028
168895,6,60,14,2,30,Corrupted Kingdoms,60,2016,"Bluffing,Deduction,Fantasy,Negotiation,Political,Territory Building",,"Raymond Chandler III,Dirk Knemeyer",,"Action Point Allowance System,Area Control / Area Influence,Modular Board,Partnerships,Trading,Variable Player Powers,Voting,Worker Placement",Artana,6.01893,56,7.324566,-47.82695,-22.582031
168917,2,45,14,2,45,Smash Up: Pretty Pretty Smash Up,45,2015,"Animals,Card Game,Fantasy,Humor",,Paul Peterson,Smash Up: The Big Geeky Box,"Area Control / Area Influence,Hand Management,Variable Player Powers","Alderac Entertainment Group (AEG),Edge Entertainment,IELLO,Pegasus Spiele,uplay.it edizioni",7.48759,1975,-11.961653,5.8031297,-49.5272
168998,2,60,14,2,60,Marvel Dice Masters: Age of Ultron,60,2015,"Collectible Components,Comic Book / Strip,Dice,Fighting",,"Mike Elliott,Eric M. Lang","DC Comics Dice Masters: Batman,Marvel Dice Masters: Age of Ultron – Collector's Box,Marvel Dice Masters: Spider-Man Maximum Carnage Team Pack,Marvel Dice Masters: The Mighty Thor","Deck / Pool Building,Dice Rolling,Variable Player Powers","Asmodee,WizKids",7.56603,849,63.959282,13.756771,-41.861168
